ownerName,id,team,roomId,serverId,channelId,groupName,periodName,teamId,pinyin,account,liveRoomId
罗恩妮,72811098,CKG48,,,,CKG48,CKG48 五期生,1404,LuoEnNi,,
彭含灵,81199151,CKG48,1482409146,1213762,1361331,CKG48,CKG48 五期生,1404,PengHanLing,20220524012839_i2qbwdxmpw65f2u,1483523641
吴睿莎,83099892,TEAM B,1764607240,1148711,1345335,BEJ48,BEJ48 十一期生,1101,WuRuiSha,20220706191038_o8crvcft0t23zor,1780991004
朱力维,83099897,BEJ48,,,,BEJ48,BEJ48 十一期生,1105,ZhuLiWei,,
陆靖婷,83231314,TEAM NIII,1696941858,1115202,1328205,GNZ48,GNZ48 十二期生,1202,LuJingTing,20220628191742_bikisryde9kw1ys,1697203554
刘小涵,87622891,TEAM X,2435418049,1639431,1672569,SNH48,SNH48 十七期生,1004,LiuXiaoHan,20220831021109_g54euvz5ti870nm,2195735816
吕相宜,87622902,TEAM X,2435418051,1607114,1623483,SNH48,SNH48 十七期生,1004,LvXiangYi,20220831021236_i33lo1im7ui8q5k,2195506932
张文婷,87622911,预备生,2435401034,1459676,1737996,SNH48,SNH48 十七期生,1007,ZhangWenTing,20220831021323_124l80l5teq9cp4,2196407471
占迪,89587917,预备生,2435253887,1901836,1901859,SNH48,SNH48 十七期生,1007,ZhanDi,20220929173847_0or8oghlp4g426j,2413709266
施未希,89587920,预备生,2435336134,1803475,1968105,SNH48,SNH48 十七期生,1007,ShiWeiXi,20220929173810_wrri4mexawur5h0,2413299282
陈淑钰,89653427,TEAM G,4344137649,2262617,2557117,GNZ48,GNZ48 十三期生,1201,ChenShuYu,20221009033228_oqhltur64imxkh3,2459617057
郭兆媛,89653428,TEAM CII,4344170091,2164051,2426251,CGT48,GNZ48 十三期生,2101,GuoZhaoYuan,20221009033432_rf8bxeh8ts9fx8e,2459584453
何林燕,89653435,TEAM CII,4344235110,2262998,2541543,CGT48,GNZ48 十三期生,2101,HeLinYan,20221009033448_901ubxjkc58pmz4,2465597296
